date,daily_excess_return,cumulative_excess_return
2022-01-04,0.004574596881866455,0.004574596881866455
2022-01-05,0.0028390988917115336,0.007413695773577989
2022-01-06,0.0036850077503137848,0.011098703523891773
2022-01-07,-0.0030719283548726497,0.008026775169019123
2022-01-10,-0.003103147638314687,0.004923627530704437
2022-01-11,0.0005750160612151253,0.005498643591919562
2022-01-12,0.008777650946230484,0.014276294538150047
2022-01-13,0.0003306517004288711,0.014606946238578918
2022-01-14,0.007977211668077628,0.022584157906656546
2022-01-17,0.005310482064635133,0.027894639971291678
2022-01-18,-0.0032269356854450993,0.024667704285846578
2022-01-19,-0.0031597996315078504,0.021507904654338727
2022-01-20,-0.008034429355895469,0.013473475298443258
2022-01-21,-0.0008237864683202839,0.012649688830122975
2022-01-24,0.004281164598025411,0.016930853428148387
2022-01-25,-0.0012463002089150197,0.015684553219233368
2022-01-26,-0.008642895256517439,0.007041657962715929
2022-01-27,-0.006449108251517815,0.0005925497111981147
2022-01-28,0.004415368315031198,0.005007918026229313
2022-02-07,-0.0018581028797329982,0.003149815146496315
2022-02-08,0.0023305126178284497,0.005480327764324765
2022-02-09,0.00019520442841640273,0.005675532192741168
2022-02-10,-0.0004331944063098749,0.005242337786431293
2022-02-11,-0.010552494908718667,-0.005310157122287374
2022-02-14,-0.0021417995892949225,-0.007451956711582297
2022-02-15,0.01681366704869002,0.009361710337107726
2022-02-16,-0.002356773941182003,0.0070049363959257226
2022-02-17,0.000876004513360768,0.007880940909286491
2022-02-18,-0.002886524425217198,0.004994416484069293
2022-02-21,0.006520408597798033,0.011514825081867327
2022-02-22,0.00039345720540737356,0.0119082822872747
2022-02-23,0.003274021416723176,0.015182303703997875
2022-02-24,-0.00498509640842172,0.010197207295576155
2022-02-25,7.827497311640563e-05,0.01027548226869256
2022-02-28,-0.005537569500732626,0.004737912767959934
2022-03-01,-0.0008727825539582828,0.003865130214001651
2022-03-02,0.004209415369629994,0.008074545583631645
2022-03-03,-0.0005416832724945248,0.007532862311137121
2022-03-04,0.0073034047002180314,0.014836267011355153
2022-03-07,-0.0002745376408222483,0.014561729370532905
2022-03-08,-0.009445298936121697,0.005116430434411208
2022-03-09,-0.006509699503457991,-0.001393269069046783
2022-03-10,0.0017738192642305225,0.0003805501951837395
2022-03-11,0.013772831294855101,0.01415338149003884
2022-03-14,0.005439213524510817,0.019592595014549657
2022-03-15,-0.007350123067138004,0.012242471947411654
2022-03-16,-0.009827820404878286,0.0024146515425333675
2022-03-17,0.0032635868107336805,0.005678238353267048
2022-03-18,0.0027434204612843995,0.008421658814551447
2022-03-21,-0.0017526309509793836,0.006669027863572064
2022-03-22,0.002211248389313035,0.008880276252885098
2022-03-23,0.0011881323867910987,0.010068408639676197
2022-03-24,-0.004435959198786515,0.005632449440889682
2022-03-25,0.002998230404064325,0.008630679844954007
2022-03-28,0.003831470328225799,0.012462150173179806
2022-03-29,-0.007837428218366405,0.0046247219548134
2022-03-30,0.0022125631227904187,0.0068372850776038194
2022-03-31,-0.0027152588382689624,0.004122026239334857
2022-04-01,-0.0035457284680867674,0.0005762977712480892
2022-04-06,-0.004193015125281976,-0.003616717354033887
2022-04-07,-0.00557236311721741,-0.009189080471251297
2022-04-08,-0.004054373810511072,-0.013243454281762369
2022-04-11,-0.01042678066928958,-0.02367023495105195
2022-04-12,0.0028671711910121384,-0.020803063760039812
2022-04-13,-0.007061246012084356,-0.027864309772124167
2022-04-14,0.0007677874691340891,-0.02709652230299008
2022-04-15,0.0038963949039578444,-0.023200127399032235
2022-04-18,0.02039153116024211,-0.0028085962387901266
2022-04-19,-0.0029145898484498637,-0.00572318608723999
2022-04-20,0.0017847789386933554,-0.003938407148546635
2022-04-21,-0.016896173942332296,-0.02083458109087893
2022-04-22,-0.012952828937994735,-0.033787410028873664
2022-04-25,-0.016651242533745492,-0.05043865256261916
2022-04-26,-0.013695760662535217,-0.06413441322515438
2022-04-27,0.01431942812174797,-0.049814985103406415
2022-04-28,-0.006567964899167476,-0.05638295000257389
2022-04-29,0.01629659779157134,-0.04008635221100255
2022-05-05,0.015495825467315184,-0.024590526743687363
2022-05-06,0.007398970221964021,-0.017191556521723342
2022-05-09,0.008967226538332897,-0.008224329983390444
2022-05-10,0.007029271962122723,-0.0011950580212677217
2022-05-11,0.004609319634124617,0.0034142616128568955
2022-05-12,0.005526849484417954,0.00894111109727485
2022-05-13,-0.004545302605895723,0.004395808491379127
2022-05-16,0.002948044363205728,0.007343852854584855
2022-05-17,-0.003664901259143481,0.003678951595441374
2022-05-18,0.006865861086280218,0.010544812681721593
2022-05-19,0.0030223533058203354,0.01356716598754193
2022-05-20,-0.0016414322537044658,0.011925733733837464
2022-05-23,0.003926126923270145,0.015851860657107607
2022-05-24,0.0006272145226716944,0.016479075179779302
2022-05-25,0.00040647975770444846,0.01688555493748375
2022-05-26,0.0036509485269936894,0.02053650346447744
2022-05-27,-0.0015895455494045136,0.018946957915072928
2022-05-30,0.000921211228408101,0.019868169143481027
2022-05-31,0.005405841331247622,0.02527401047472865
2022-06-01,0.0022377112194151587,0.027511721694143808
2022-06-02,0.002697221524377044,0.030208943218520853
2022-06-06,-0.0048892507359225386,0.025319692482598313
2022-06-07,-0.0023311109069530534,0.02298858157564526
2022-06-08,-0.0018011455864896887,0.021187435989155574
2022-06-09,0.005550848750953927,0.026738284740109503
2022-06-10,-0.0015307823259922129,0.02520750241411729
2022-06-13,0.0026794386691418714,0.027886941083259162
2022-06-14,0.003688991559126445,0.031575932642385604
2022-06-15,0.0060994724816618145,0.03767540512404742
2022-06-16,-0.0005680896851933503,0.03710731543885407
2022-06-17,-0.009426690196326352,0.02768062524252772
2022-06-20,-0.0024277065370213327,0.02525291870550639
2022-06-21,-0.0016404798209290346,0.023612438884577355
2022-06-22,0.00046920712079085797,0.024081646005368215
2022-06-23,-0.004072142623205924,0.02000950338216229
2022-06-24,-0.004555517818922392,0.015453985563239897
2022-06-27,-0.005063508261435159,0.01039047730180474
2022-06-28,0.0008566819582914853,0.011247159260096225
2022-06-29,0.006814821361793213,0.018061980621889438
2022-06-30,-0.008787485141860818,0.00927449548002862
2022-07-01,0.0004745961696773817,0.009749091649706002
2022-07-04,-0.0012941940732462973,0.008454897576459706
2022-07-05,0.0006921057635228098,0.009147003339982515
2022-07-06,0.002305791123557265,0.01145279446353978
2022-07-07,-0.005381361398541165,0.006071433064998615
2022-07-08,0.005556481939199294,0.011627915004197908
2022-07-11,0.004215830443673426,0.015843745447871337
2022-07-12,-0.0030048842237606526,0.012838861224110685
2022-07-13,-0.0021142249585577927,0.010724636265552891
2022-07-14,0.0014868346442737594,0.01221147090982665
